AASRS,HASRS,HMOV
6.94,-3.08,1
4.902,-3.08,1
2.57,-7.9,0
6.367,-8.26,0
-0.01,-0.38,0
5.632,-8.26,0
2.04,6.94,1
2.15,2.53,0
-7.9,5.464,1
5.632,-0.431,1
-2.87,-6.448,0
-0.35831125,3.63,1
1.763562,0.53,0
0.21,2.831101237,1
-0.38,0.12832708,0
2.353279,-3.88871218,1
2.71356,7.02,False
2.71356,6.387133,1
7.02,2.89865,1
5.49534,2.89865,0
2.89865,5.49534,0
5.49534,2.89865,1
2.89865,5.49534,1
5.554217,3.673957,1
7.02,3.673957,0
-1.1482248583995052,0.13,1
2.01,-0.39207589285714284,0
1.7229225551470588,0.7486666666666666,

